Capacity,Station Type,Lon,Lat,Short Name,Name
15,classic,-87.63482809,41.72757566,20118,Eggleston Ave & 92nd St
11,classic,-87.745405,41.877613,16913,Cicero Ave & Quincy St
15,classic,-87.676169,41.961406,TA1307000144,Wolcott (Ravenswood) Ave & Montrose Ave
11,classic,-87.755285,41.875806,543,Laramie Ave & Gladys Ave
31,classic,-87.635185,41.880317,TA1309000007,Franklin St & Monroe St
15,classic,-87.723831,41.910158,23191,Springfield Ave & North Ave
15,classic,-87.720028,41.764484,23137,Springfield Ave & 71st St
19,classic,-87.68644528,41.87474885,15668,Western Ave & Congress Pkwy
47,classic,-87.62408432,41.8810317,13008,Millennium Park
11,classic,-87.686234,41.868563,644,Western Ave & Fillmore St
15,classic,-87.683282,41.939354,KA17018068,Leavitt St & Belmont Ave
15,classic,-87.71611496,41.98039423,KA1504000161,St. Louis Ave & Balmoral Ave
15,classic,-87.659141,41.868968,13139,Throop St & Taylor St
15,classic,-87.693121,41.764748,23140,California Ave & 71st St
15,classic,-87.646795,41.847203,TA1308000013,Halsted St & Archer Ave
19,classic,-87.638677,41.911386,TA1307000038,Sedgwick St & North Ave
11,classic,-87.616279,41.809851,TA1308000007,MLK Jr Dr & 47th St
11,classic,-87.658902,41.884336,23001,Elizabeth St & Randolph St
15,classic,-87.679101,42.032562,E002,Chicago Ave & Washington St
15,classic,-87.5864499,41.79949429,KA1503000059,Lake Park Ave & 53rd St
15,classic,-87.645361,41.965845,639,Lakefront Trail & Wilson Ave
11,classic,-87.64499006,41.79292965,KA1503000011,Halsted St & 56th St
11,classic,-87.652934,41.768938,567,May St & 69th St
27,classic,-87.65294373,41.94023192,TA1307000134,Wilton Ave & Belmont Ave
15,classic,-87.71511734,41.8540635,15685,Central Park Ave & Ogden Ave
11,classic,-87.705866,41.961041,15621,Albany Ave & Montrose Ave
11,classic,-87.69336964,41.99023603,KA1504000130,Maplewood Ave & Peterson Ave
19,classic,-87.65703,41.87464,TA1306000025,Racine Ave & Congress Pkwy
15,classic,-87.683825,41.902997,658,Leavitt St & Division St
19,classic,-87.63219,41.867491,KA1706005007,Delano Ct & Roosevelt Rd
19,classic,-87.66136386,41.87222873,13332,Loomis St & Lexington St
19,classic,-87.625734,41.870769,TA1309000010,Wabash Ave & 9th St
15,classic,-87.57896841,41.72229074,20228,Constance Ave & 95th St
19,classic,-87.679258,41.96325,TA1309000012,Damen Ave & Sunnyside Ave
15,classic,-87.631246,41.870816,SL-009,Clark St & 9th St (AMLI)
19,classic,-87.62603,41.886875,TA1307000131,Wabash Ave & Wacker Pl
11,classic,-87.624621,41.756971,572,State St & 76th St
11,classic,-87.58646088,41.76649294,KA1503000045,Stony Island Ave & 71st St
55,classic,-87.619521,41.884728,13263,Columbus Dr & Randolph St
31,classic,-87.62707651,41.88937547,13050,State St & Kinzie St
54,classic,-87.61535539,41.86722596,15544,Shedd Aquarium
15,classic,-87.733795,41.934457,21361,Kenosha Ave & Wellington Ave
11,classic,-87.62264416,41.73655302,595,Wabash Ave & 87th St
39,classic,-87.616743,41.880958,13300,DuSable Lake Shore Dr & Monroe St
15,classic,-87.667252,41.907066,13224,Ashland Ave & Blackhawk St
15,classic,-87.643749,41.918084,TA1309000006,Larrabee St & Armitage Ave
7,classic,-87.580046,41.747363,665,South Chicago Ave & Elliot Ave
27,classic,-87.64444785,41.88871604,TA1306000003,Desplaines St & Kinzie St
11,classic,-87.56644,41.758768,KA1503000024,Yates Blvd & 75th St
11,classic,-87.626938,41.841707,13213,State St & 29th St
11,classic,-87.618691,41.794853,TA1307000160,Prairie Ave & Garfield Blvd
11,classic,-87.731023,41.946264,KA1504000141,Pulaski Rd & Eddy St
43,classic,-87.62468398,41.88398406,13001,Michigan Ave & Washington St
