num_ebikes_available,num_docks_disabled,is_installed,num_bikes_disabled,is_returning,station_id,num_docks_available,num_scooters_unavailable,num_scooters_available,is_renting,num_bikes_available,timestamp,n_classic,n_electric,n_scooters
2,0,1,0,1,1936582560225114270,10,0.0,0.0,1,5,06/20/2024 10:09 PM,3,2,0
1,0,1,1,1,a3a52df5-a135-11e9-9cda-0a87ae2ba916,21,0.0,0.0,1,1,06/20/2024 10:09 PM,0,1,0
4,0,1,0,1,a3afd294-a135-11e9-9cda-0a87ae2ba916,2,0.0,0.0,1,13,06/20/2024 10:09 PM,9,4,0
0,0,1,2,1,1945195957167804800,5,0.0,0.0,1,8,06/20/2024 10:09 PM,8,0,0
5,0,1,3,1,a3a59ec3-a135-11e9-9cda-0a87ae2ba916,6,0.0,1.0,1,9,06/20/2024 10:09 PM,4,5,1
1,0,1,0,1,a3a9c5f7-a135-11e9-9cda-0a87ae2ba916,3,0.0,0.0,1,4,06/20/2024 10:09 PM,3,1,0
1,0,1,2,1,e63300bd-4ca3-4255-adfd-522289d68b8a,7,0.0,0.0,1,6,06/20/2024 10:09 PM,5,1,0
1,0,1,3,1,1879436840905128284,7,0.0,0.0,1,5,06/20/2024 10:09 PM,4,1,0
1,0,1,2,1,a3aa4017-a135-11e9-9cda-0a87ae2ba916,9,0.0,0.0,1,4,06/20/2024 10:09 PM,3,1,0
0,0,1,5,1,1938034236347042306,9,0.0,0.0,1,1,06/20/2024 10:09 PM,1,0,0
0,0,1,3,1,a3acdae2-a135-11e9-9cda-0a87ae2ba916,3,0.0,0.0,1,5,06/20/2024 10:09 PM,5,0,0
3,1,1,1,1,1934289944388426278,6,0.0,0.0,1,7,06/20/2024 10:09 PM,4,3,0
1,0,1,1,1,1866477298337982542,1,0.0,0.0,1,2,06/20/2024 10:07 PM,1,1,0
1,0,1,2,1,1869052846885132442,4,0.0,0.0,1,9,06/20/2024 10:08 PM,8,1,0
3,0,1,0,1,1929121887488481484,6,0.0,0.0,1,5,06/20/2024 10:08 PM,2,3,0
2,0,1,1,1,a3b2810e-a135-11e9-9cda-0a87ae2ba916,6,0.0,0.0,1,4,06/20/2024 10:08 PM,2,2,0
1,0,1,1,1,a77136ee-060b-433b-88d0-ec74af1ef7ad,8,0.0,0.0,1,6,06/20/2024 10:08 PM,5,1,0
0,0,1,5,1,a3b2e20c-a135-11e9-9cda-0a87ae2ba916,8,0.0,0.0,1,2,06/20/2024 10:08 PM,2,0,0
